Time,Position,Speed
0,0.1,-0.00860394
0.001,0.0999914,-0.0172069
0.002,0.0999742,-0.0258086
0.003,0.0999484,-0.0344087
0.004,0.099914,-0.0430069
0.005,0.099871,-0.0516029
0.006,0.0998194,-0.0601964
0.007,0.0997592,-0.068787
0.008,0.0996904,-0.0773744
0.009,0.099613,-0.0859583
0.01,0.099527,-0.0945384
0.011,0.0994325,-0.103114
0.012,0.0993294,-0.111686
0.013,0.0992177,-0.120253
0.014,0.0990975,-0.128814
0.015,0.0989686,-0.13737
0.016,0.0988313,-0.145921
0.017,0.0986853,-0.154465
0.018,0.0985309,-0.163002
0.019,0.0983679,-0.171533
0.02,0.0981963,-0.180057
0.021,0.0980163,-0.188573
0.022,0.0978277,-0.197081
0.023,0.0976306,-0.205581
0.024,0.0974251,-0.214073
0.025,0.097211,-0.222555
0.026,0.0969884,-0.231028
0.027,0.0967574,-0.239491
0.028,0.0965179,-0.247945
0.029,0.09627,-0.256388
0.03,0.0960136,-0.264819
0.031,0.0957488,-0.27324
0.032,0.0954755,-0.281649
0.033,0.0951939,-0.290046
0.034,0.0949038,-0.29843
0.035,0.0946054,-0.306802
0.036,0.0942986,-0.31516
0.037,0.0939834,-0.323505
0.038,0.0936599,-0.331835
0.039,0.0933281,-0.34015
0.04,0.0929879,-0.348451
0.041,0.0926395,-0.356736
0.042,0.0922828,-0.365005
0.043,0.0919177,-0.373258
0.044,0.0915445,-0.381493
0.045,0.091163,-0.389712
0.046,0.0907733,-0.397912
0.047,0.0903754,-0.406094
0.048,0.0899693,-0.414257
0.049,0.089555,-0.4224
0.05,0.0891326,-0.430524
0.051,0.0887021,-0.438627
0.052,0.0882635,-0.446709
0.053,0.0878168,-0.45477
0.054,0.087362,-0.462808
0.055,0.0868992,-0.470824
0.056,0.0864284,-0.478817
0.057,0.0859495,-0.486785
0.058,0.0854628,-0.494729
0.059,0.084968,-0.502649
0.06,0.0844654,-0.510542
0.061,0.0839548,-0.518409
0.062,0.0834364,-0.526249
0.063,0.0829102,-0.534062
0.064,0.0823761,-0.541846
0.065,0.0818343,-0.549602
0.066,0.0812847,-0.557328
0.067,0.0807273,-0.565023
0.068,0.0801623,-0.572688
0.069,0.0795896,-0.580321
0.07,0.0790093,-0.587921
0.071,0.0784214,-0.595489
0.072,0.0778259,-0.603022
0.073,0.0772229,-0.610521
0.074,0.0766124,-0.617984
0.075,0.0759944,-0.625411
0.076,0.075369,-0.632801
0.077,0.0747362,-0.640153
0.078,0.074096,-0.647467
0.079,0.0734485,-0.654741
0.08,0.0727938,-0.661974
0.081,0.0721318,-0.669166
0.082,0.0714627,-0.676317
0.083,0.0707863,-0.683424
0.084,0.0701029,-0.690487
0.085,0.0694124,-0.697506
0.086,0.0687149,-0.704478
0.087,0.0680104,-0.711404
0.088,0.067299,-0.718282
0.089,0.0665808,-0.725112
0.09,0.0658556,-0.731892
0.091,0.0651238,-0.738621
0.092,0.0643851,-0.745299
0.093,0.0636398,-0.751923
0.094,0.0628879,-0.758495
0.095,0.0621294,-0.765011
0.096,0.0613644,-0.771471
0.097,0.0605929,-0.777874
0.098,0.0598151,-0.784219
0.099,0.0590308,-0.790505
0.1,0.0582403,-0.796731
0.101,0.0574436,-0.802895
0.102,0.0566407,-0.808996
0.103,0.0558317,-0.815033
0.104,0.0550167,-0.821005
0.105,0.0541957,-0.826911
0.106,0.0533688,-0.832749
0.107,0.052536,-0.838519
0.108,0.0516975,-0.844218
0.109,0.0508533,-0.849846
0.11,0.0500034,-0.855402
0.111,0.049148,-0.860883
0.112,0.0482872,-0.86629
0.113,0.0474209,-0.871619
0.114,0.0465492,-0.876871
0.115,0.0456724,-0.882044
0.116,0.0447903,-0.887136
0.117,0.0439032,-0.892146
0.118,0.043011,-0.897072
0.119,0.042114,-0.901914
0.12,0.0412121,-0.906669
0.121,0.0403054,-0.911337
0.122,0.0393941,-0.915915
0.123,0.0384781,-0.920403
0.124,0.0375577,-0.924799
0.125,0.0366329,-0.929101
0.126,0.0357038,-0.933308
0.127,0.0347705,-0.937419
0.128,0.0338331,-0.941432
0.129,0.0328917,-0.945345
0.13,0.0319463,-0.949157
0.131,0.0309972,-0.952866
0.132,0.0300443,-0.956471
0.133,0.0290878,-0.95997
0.134,0.0281279,-0.963362
0.135,0.0271645,-0.966644
0.136,0.0261979,-0.969817
0.137,0.025228,-0.972877
0.138,0.0242552,-0.975824
0.139,0.0232793,-0.978655
0.14,0.0223007,-0.98137
0.141,0.0213193,-0.983966
0.142,0.0203354,-0.986442
0.143,0.0193489,-0.988796
0.144,0.0183601,-0.991027
0.145,0.0173691,-0.993134
0.146,0.016376,-0.995113
0.147,0.0153808,-0.996965
0.148,0.0143839,-0.998687
0.149,0.0133852,-1.00028
0.15,0.0123849,-1.00174
0.151,0.0113832,-1.00306
0.152,0.0103801,-1.00425
0.153,0.00937587,-1.0053
0.154,0.00837057,-1.00621
0.155,0.00736437,-1.00698
0.156,0.00635739,-1.0076
0.157,0.00534978,-1.00809
0.158,0.00434169,-1.00843
0.159,0.00333327,-1.00862
0.16,0.00232465,-1.00866
0.161,0.00131599,-1.00856
0.162,0.000307429,-1.0083
0.163,-0.000700869,-1.00789
0.164,-0.00170876,-1.00732
0.165,-0.00271608,-1.0066
0.166,-0.00372268,-1.00573
0.167,-0.00472841,-1.00469
0.168,-0.0057331,-1.0035
0.169,-0.0067366,-1.00214
0.17,-0.00773873,-1.00062
0.171,-0.00873936,-0.998939
0.172,-0.00973829,-0.997093
0.173,-0.0107354,-0.99508
0.174,-0.0117305,-0.9929
0.175,-0.0127234,-0.990552
0.176,-0.0137139,-0.988035
